4	2.0	0.6	9
4	3.0	0.8666666666666667	13
4	4.0	0.5333333333333333	8
9	1.0	0.13333333333333333	2
9	2.0	0.2	3
9	3.0	0.8	12
9	4.0	0.8666666666666667	13
14	1.0	0.06666666666666667	1
14	2.0	0.7333333333333333	11
14	3.0	0.3333333333333333	5
14	4.0	0.8666666666666667	13
19	2.0	0.3448275862068966	5
19	3.0	0.6896551724137931	10
19	4.0	0.9655172413793104	14
24	2.0	0.41379310344827586	6
24	3.0	0.4827586206896552	7
24	4.0	1.103448275862069	16
29	1.0	0.07142857142857142	1
29	2.0	0.2857142857142857	4
29	3.0	0.5714285714285714	8
29	4.0	1.0714285714285714	15
