#MLS_Theta	NumVNodesPerNet	min	max	average	ci95
1.0	5.0	797.0	2547.0	1889.0666666666666	64.08671992033737	
1.0	10.0	578.0	4188.0	2831.4222222222224	162.04618569925606	
1.0	15.0	938.0	6282.0	4032.732558139535	312.76167874506837	
1.0	20.0	1469.0	11375.0	5588.511904761905	514.3818158985077	
1.0	25.0	1968.0	15531.0	6671.291666666667	843.6947668546136	
1.0	30.0	2500.0	22203.0	6950.0	1149.8988642107697	

2.0	5.0	1234.0	2625.0	1917.2111111111112	47.35289338644975	
2.0	10.0	1891.0	4265.0	3155.211111111111	93.31727168838097	
2.0	15.0	2297.0	7094.0	5271.077777777778	181.13045598468398	
2.0	20.0	1531.0	10766.0	7457.4	408.45932214926324	
2.0	25.0	1891.0	16375.0	10408.34090909091	671.4852490166049	
2.0	30.0	2250.0	23578.0	13179.93023255814	1045.6824781123414	

3.0	5.0	1579.0	2312.0	1948.7333333333333	36.76730516273528	
3.0	10.0	2516.0	4469.0	3199.1666666666665	78.29347968401407	
3.0	15.0	2922.0	7516.0	5518.4111111111115	190.39651599190256	
3.0	20.0	5547.0	11641.0	8287.044444444444	288.70121606411703	
3.0	25.0	3328.0	16687.0	11539.168539325843	522.3278809208005	
3.0	30.0	2781.0	22937.0	15341.322222222223	849.3619547199341	
